鉴锅,Circuit,WD 辆幅,WD Page,Cable Type,From Deck,From Room,From Equipment,To Deck,To Room,To Equipment,Main-SubSystem,辨捞,啊蹿荐,醚辨捞,From Node,From Length,To Node,To Length,POR Area,SET Area,SET DECK,SET Block,SET Node,S-From Length,S-ToLength,雷咯POR,雷咯傈侩樊,Cut_div,GroupCircuit,CASING荤鞭,Drum Ser,Drum Seq,Deck PATH,Block PATH,Node PATH,RMK1,RMK2,CUT_NOD,POR_DIV,窜困吝樊,Upper_blk,Stage,DP,From厘厚Tag,To厘厚Tag,CheckNode,辨捞Node
1,A-AS1-1,CONT,103,HLMS33,E2,,ECC,AU,,A-JB-AU,/,47,1,47,E3AP015D,1.6,CDFS2076,1.3,E,E,E42P0,E3P,E3AP015D,1.6,44.9,,0,C,,,ECE0,AA,E3(16.7) E2(27.83) AU(1.95),E42P0(16.7) E52P0(14.69) E52S0(7.67) E51S0(5.47) H11S0(1.95),E3AP015D E3AP2232 E3AP2240 E3AP2239 E3AP2238 E3AP2218 E3AP2217 E3AP2296 E3AP2295 E3AP2214 E3AP2215 E3AP2236 E3AP016H E2AP0237 E2AP0238 E2AP0153 E2AP0154 E2AP0155 E2AP0156 E2AP0085 E2AP0050 E2AP0049 E2AP0048 E2JBJ011 E2AS0120 E2AS0119 E2AS0117 E2JBJ003 E2FS0094 E2FS0093 E2FS0009 E2FS021D E2FS021D CDFS2076  ,,,C88,惯青,0.890,E42P0,J,E42P0J540003,E419AAECC,E412BBAJBAU,,       F-(    1.6)-E3AP015D-(   2.59)-E3AP2232-(   3.34)-E3AP2240-(   4.24)-E3AP2239-(   4.26)-E3AP2238-(   6.02)-E3AP2218-(   6.05)-E3AP2217-(   8.85)-E3AP2296-(   9.37)-E3AP2295-(  10.27)-E3AP2214-(  13.63)-E3AP2215-(  15.48)-E3AP2236-(   16.7)-E3AP016H-(  17.51)-E2AP0237-(  18.08)-E2AP0238-(  19.23)-E2AP0153-(  19.63)-E2AP0154-(  20.09)-E2AP0155-(  20.15)-E2AP0156-(  23.54)-E2AP0085-(  27.03)-E2AP0050-(  30.35)-E2AP0049-(  30.67)-E2AP0048-(  31.39)-E2JBJ011-(  31.85)-E2AS0120-(  36.35)-E2AS0119-(  38.91)-E2AS0117-(  39.06)-E2JBJ003-(  41.46)-E2FS0094-(  42.08)-E2FS0093-(     43)-E2FS0009-(  44.53)-E2FS021D-(  45.18)-CDFS2076-(  46.48)-T       
2,A-AS1-1A,CONT,103,HLMS33,AU,,A-JB-AU,WH,,BCC,/,28,1,28,CDFS2076,1.3,ACFS025G,3.1,A,A,H23S0,H23S0,CDFS2116,11.2,15.9,,0,C,,,ECA0,AA,AU(4.73) AA(2.93) AB(2.94) AC(16.53),H11S0(4.73) H21S0(2.93) H22S0(2.94) H23S0(16.53),CDFS2076 CDFS2091 CDFS2095 CDFS021E CDFS2008 CDFS2009 CDFS2010 CDFS021Q CDFS2065 CDFS2064 CDFS021D CDFS2116 CDFS2110 CDFS2109 CDFS2108 CDFS2107 CDFS2106 ACFS2107 ACFS2101 ACFS2070 ACFS2069 ACFS2068 ACFS2067 ACFS2050 ACFS2032 ACFS2033 ACFS2034 ACFS2035 ACFS025G  ,,,B,惯青,0.890,H11S0,J,H23S0J540003,E412BBAJBAU,E409AABCC,,       F-(    1.3)-CDFS2076-(   2.17)-CDFS2091-(   3.23)-CDFS2095-(   4.73)-CDFS021E-(   5.19)-CDFS2008-(   5.87)-CDFS2009-(   7.05)-CDFS2010-(   7.66)-CDFS021Q-(   8.14)-CDFS2065-(   9.96)-CDFS2064-(   10.6)-CDFS021D-(  11.24)-CDFS2116-(   13.6)-CDFS2110-(  14.17)-CDFS2109-(  14.44)-CDFS2108-(  14.46)-CDFS2107-(  15.16)-CDFS2106-(  16.35)-ACFS2107-(  16.85)-ACFS2101-(  17.84)-ACFS2070-(  18.32)-ACFS2069-(  18.38)-ACFS2068-(   18.4)-ACFS2067-(  20.26)-ACFS2050-(  21.38)-ACFS2032-(  21.49)-ACFS2033-(  22.41)-ACFS2034-(  23.21)-ACFS2035-(  24.03)-ACFS025G-(  27.13)-T       
3,A-AS1-2,CONT,103,HLMS27,E2,,ECC,AU,,A-JB-AU,/,47,1,47,E3AP015D,1.6,CDFS2076,1.3,E,E,E42P0,E3P,E3AP015D,1.6,44.9,,0,C,,,ECE0,AB,E3(16.7) E2(27.83) AU(1.95),E42P0(16.7) E52P0(14.69) E52S0(7.67) E51S0(5.47) H11S0(1.95),E3AP015D E3AP2232 E3AP2240 E3AP2239 E3AP2238 E3AP2218 E3AP2217 E3AP2296 E3AP2295 E3AP2214 E3AP2215 E3AP2236 E3AP016H E2AP0237 E2AP0238 E2AP0153 E2AP0154 E2AP0155 E2AP0156 E2AP0085 E2AP0050 E2AP0049 E2AP0048 E2JBJ011 E2AS0120 E2AS0119 E2AS0117 E2JBJ003 E2FS0094 E2FS0093 E2FS0009 E2FS021D E2FS021D CDFS2076  ,,,C88,惯青,0.760,E42P0,J,E42P0J540003,E419AAECC,E412BBAJBAU,,       F-(    1.6)-E3AP015D-(   2.59)-E3AP2232-(   3.34)-E3AP2240-(   4.24)-E3AP2239-(   4.26)-E3AP2238-(   6.02)-E3AP2218-(   6.05)-E3AP2217-(   8.85)-E3AP2296-(   9.37)-E3AP2295-(  10.27)-E3AP2214-(  13.63)-E3AP2215-(  15.48)-E3AP2236-(   16.7)-E3AP016H-(  17.51)-E2AP0237-(  18.08)-E2AP0238-(  19.23)-E2AP0153-(  19.63)-E2AP0154-(  20.09)-E2AP0155-(  20.15)-E2AP0156-(  23.54)-E2AP0085-(  27.03)-E2AP0050-(  30.35)-E2AP0049-(  30.67)-E2AP0048-(  31.39)-E2JBJ011-(  31.85)-E2AS0120-(  36.35)-E2AS0119-(  38.91)-E2AS0117-(  39.06)-E2JBJ003-(  41.46)-E2FS0094-(  42.08)-E2FS0093-(     43)-E2FS0009-(  44.53)-E2FS021D-(  45.18)-CDFS2076-(  46.48)-T       
4,A-AS1-2A,CONT,103,HLMS27,AU,,A-JB-AU,WH,,BCC,/,28,1,28,CDFS2076,1.3,ACFS025G,3.1,A,A,H23S0,H23S0,CDFS2116,11.2,15.9,,0,C,,,ECA0,AB,AU(4.73) AA(2.93) AB(2.94) AC(16.53),H11S0(4.73) H21S0(2.93) H22S0(2.94) H23S0(16.53),CDFS2076 CDFS2091 CDFS2095 CDFS021E CDFS2008 CDFS2009 CDFS2010 CDFS021Q CDFS2065 CDFS2064 CDFS021D CDFS2116 CDFS2110 CDFS2109 CDFS2108 CDFS2107 CDFS2106 ACFS2107 ACFS2101 ACFS2070 ACFS2069 ACFS2068 ACFS2067 ACFS2050 ACFS2032 ACFS2033 ACFS2034 ACFS2035 ACFS025G  ,,,B,惯青,0.760,H11S0,J,H23S0J540003,E412BBAJBAU,E409AABCC,,       F-(    1.3)-CDFS2076-(   2.17)-CDFS2091-(   3.23)-CDFS2095-(   4.73)-CDFS021E-(   5.19)-CDFS2008-(   5.87)-CDFS2009-(   7.05)-CDFS2010-(   7.66)-CDFS021Q-(   8.14)-CDFS2065-(   9.96)-CDFS2064-(   10.6)-CDFS021D-(  11.24)-CDFS2116-(   13.6)-CDFS2110-(  14.17)-CDFS2109-(  14.44)-CDFS2108-(  14.46)-CDFS2107-(  15.16)-CDFS2106-(  16.35)-ACFS2107-(  16.85)-ACFS2101-(  17.84)-ACFS2070-(  18.32)-ACFS2069-(  18.38)-ACFS2068-(   18.4)-ACFS2067-(  20.26)-ACFS2050-(  21.38)-ACFS2032-(  21.49)-ACFS2033-(  22.41)-ACFS2034-(  23.21)-ACFS2035-(  24.03)-ACFS025G-(  27.13)-T       
5,A-AS1-3,CONT,103,HLM2,E3,,CONTROL AIR DRYER,E2,,E/R ICMS FC11,/,50,1,50,EFAS018A,1.6,E3AP015D,1.6,E,E,E42P0,EFP,E3AP015D,47.5,1.6,,0,C,,,ECE0,AC,EF(36.66) E3(12.39),E32S0(22.72) E32P0(13.94) E42P0(12.39),EFAS018A EFAS2343 EFAS2207 EFAS2220 EFAS2221 EFAS2222 EFAS2223 EFAS2224 EFAS2206 EFJBJ023 EFAP2310 EFAP2311 EFAP2312 EFAP2313 EFAP2296 EFAP2298 EFAP2299 EFAP2300 EFAP2301 EFAP017C E3AP2205 E3AP2206 E3AP2207 E3AP2216 E3AP2217 E3AP2218 E3AP2238 E3AP2239 E3AP2240 E3AP2232 E3AP015D  ,,,C88,惯青,0.130,E32S0,J,E42P0J540003,******CAD,E419AAECC,,       F-(    1.6)-EFAS018A-(   10.6)-EFAS2343-(   11.9)-EFAS2207-(  12.78)-EFAS2220-(  13.91)-EFAS2221-(  16.52)-EFAS2222-(  19.36)-EFAS2223-(  20.22)-EFAS2224-(  21.98)-EFAS2206-(  22.72)-EFJBJ023-(  23.24)-EFAP2310-(  24.74)-EFAP2311-(  26.07)-EFAP2312-(  26.69)-EFAP2313-(  29.28)-EFAP2296-(  32.11)-EFAP2298-(  33.21)-EFAP2299-(  34.13)-EFAP2300-(  34.71)-EFAP2301-(  36.66)-EFAP017C-(  38.76)-E3AP2205-(  39.34)-E3AP2206-(  39.94)-E3AP2207-(  42.42)-E3AP2216-(     43)-E3AP2217-(  43.03)-E3AP2218-(  44.79)-E3AP2238-(  44.81)-E3AP2239-(  45.71)-E3AP2240-(  46.46)-E3AP2232-(  47.45)-E3AP015D-(  49.05)-T       
6,A-AS1-5,CONT,103,HLM2,E3,,OIL CONTAMINATION DETECTOR,E2,,E/R ICMS FC12,/,45,1,45,EFFP025B,3,E3AP017E,3.2,E,E,E42P0,EFP,E3AP017E,40.9,3.2,,0,C,,,ECE0,AC,EF(29.14) E3(14.98),E31P0(17.7) E32P0(11.44) E42P0(14.98),EFFP025B EFFP2130 EFFP2131 EFFP2144 EFFP2145 EFFP2146 EFFP2166 EFFP2167 EFFP2176 EFFP2193 EFFP2194 EFFP2195 EFFP2201 EFFP2202 EFFP2203 EFFP2204 EFJBJ054 EFAP2287 EFAP2205 EFAP2296 EFAP2298 EFAP2299 EFAP2300 EFAP2301 EFAP017C E3AP2205 E3AP2206 E3AP2207 E3AP2216 E3AP2210 E3AP2212 E3AP2213 E3AP2211 E3AP017E  ,,,C110,惯青,0.130,E31P0,J,E42P0J540003,E425AAAS1101,E420FFFC12,EFAP017C ,       F-(      3)-EFFP025B-(   3.21)-EFFP2130-(   4.23)-EFFP2131-(   5.64)-EFFP2144-(   7.32)-EFFP2145-(   9.25)-EFFP2146-(  10.39)-EFFP2166-(  10.75)-EFFP2167-(  12.83)-EFFP2176-(  13.16)-EFFP2193-(  14.04)-EFFP2194-(  14.24)-EFFP2195-(  16.76)-EFFP2201-(   16.8)-EFFP2202-(   16.9)-EFFP2203-(  17.41)-EFFP2204-(   17.7)-EFJBJ054-(  17.82)-EFAP2287-(  19.86)-EFAP2205-(  21.76)-EFAP2296-(  24.59)-EFAP2298-(  25.69)-EFAP2299-(  26.61)-EFAP2300-(  27.19)-EFAP2301-(  29.14)-EFAP017C-(  31.24)-E3AP2205-(  31.82)-E3AP2206-(  32.42)-E3AP2207-(   34.9)-E3AP2216-(  38.61)-E3AP2210-(  39.44)-E3AP2212-(  39.88)-E3AP2213-(  40.55)-E3AP2211-(  40.92)-E3AP017E-(  44.12)-T       
7,A-AS2-7A,CONT,104,HLMS2,E2,,E/R ICMS FC11,E3,,G-JB-PURI(A),/,21,1,21,E3AP015D,1.6,E3FP2097,2.5,E,E,E41P0,E3P,E3JBJ018,17.2,2.9,,0,C,,,ECE0,AD,E3(20.12),E42P0(17.2) E41P0(2.92),E3AP015D E3AP2232 E3AP2240 E3AP2239 E3AP2238 E3AP2218 E3AP2217 E3AP2216 E3AP2207 E3AP2206 E3AP2205 E3AP2191 E3AP2187 E3AP2186 E3AP2180 E3JBJ018 E3FP2097  ,,,C160,惯青,0.130,E42P0,J,E41P0J540003,E419AAECC,E412GGGJBPURIA,,       F-(    1.6)-E3AP015D-(   2.59)-E3AP2232-(   3.34)-E3AP2240-(   4.24)-E3AP2239-(   4.26)-E3AP2238-(   6.02)-E3AP2218-(   6.05)-E3AP2217-(   6.63)-E3AP2216-(   9.11)-E3AP2207-(   9.71)-E3AP2206-(  10.29)-E3AP2205-(  14.25)-E3AP2191-(  14.97)-E3AP2187-(  15.93)-E3AP2186-(  16.88)-E3AP2180-(   17.2)-E3JBJ018-(  17.62)-E3FP2097-(  20.12)-T       
8,A-AS2-8,CONT,104,HLMS2,E2,,E/R ICMS FC11,EC,,G-JB-EC,/,34,1,34,E3AP015D,1.6,ECAP0010,1.9,E,E,E42P0,E3P,E3AP015D,1.6,32.4,,0,C,,,ECE0,AD,E3(16.7) E2(13.57) EC(3.69),E42P0(16.7) E52P0(13.57) M31A0(3.69),E3AP015D E3AP2232 E3AP2240 E3AP2239 E3AP2238 E3AP2218 E3AP2217 E3AP2296 E3AP2295 E3AP2214 E3AP2215 E3AP2236 E3AP016H E2AP0237 E2AP0238 E2AP0153 E2AP0154 E2AP0155 E2AP0156 E2AP0085 E2AP0081 E2AP0082 E2AP0083 E2AP0084 E2AP0087 E2AP1000 ECAP0185 ECAP0186 ECAP0010  ,,,C88,惯青,0.130,E42P0,J,E42P0J540003,E419AAECC,E412EEGJBECP,,       F-(    1.6)-E3AP015D-(   2.59)-E3AP2232-(   3.34)-E3AP2240-(   4.24)-E3AP2239-(   4.26)-E3AP2238-(   6.02)-E3AP2218-(   6.05)-E3AP2217-(   8.85)-E3AP2296-(   9.37)-E3AP2295-(  10.27)-E3AP2214-(  13.63)-E3AP2215-(  15.48)-E3AP2236-(   16.7)-E3AP016H-(  17.51)-E2AP0237-(  18.08)-E2AP0238-(  19.23)-E2AP0153-(  19.63)-E2AP0154-(  20.09)-E2AP0155-(  20.15)-E2AP0156-(  23.54)-E2AP0085-(  24.89)-E2AP0081-(  25.15)-E2AP0082-(  27.01)-E2AP0083-(  27.57)-E2AP0084-(  28.43)-E2AP0087-(  30.27)-E2AP1000-(  31.46)-ECAP0185-(  31.58)-ECAP0186-(  32.06)-ECAP0010-(  33.96)-T       
9,A-AS2-8A,CONT,104,HLMS2,EC,,G-JB-EC,EC,,SERVICE STEAM PRESSURE,/,19,1,19,ECAP0010,1.9,ECAP0174,2,E,E,M31A0,M31A0,ECAP0210,11.2,7.7,,0,C,,,ECE0,AD,EC(18.92),M31A0(18.92),ECAP0010 ECAP0187 ECAP0188 ECAP0009 ECAP0197 ECAP0210 ECAP0209 ECAP0208 ECAP0192 ECAP0174  ,,,X36,惯青,0.130,M31A0,L,M31A0L540003,E412EEGJBECP,******AS2101,,       F-(    1.9)-ECAP0010-(    2.9)-ECAP0187-(   3.19)-ECAP0188-(   4.67)-ECAP0009-(   9.68)-ECAP0197-(  11.21)-ECAP0210-(  11.71)-ECAP0209-(  12.29)-ECAP0208-(  15.62)-ECAP0192-(  16.92)-ECAP0174-(  18.92)-T       
10,A-AS2-9,CONT,104,HLMS4,E2,,E/R ICMS FC11,E3,,STEAM DUMPING V/V(Q-112V),/,26,1,26,E3AP015D,1.6,EFAP015A,4.7,E,E,E42P0,EFP,E3AP015D,1.6,24,,0,C,,,ECE0,AE,E3(12.39) EF(13.24),E42P0(12.39) E32P0(13.24),E3AP015D E3AP2232 E3AP2240 E3AP2239 E3AP2238 E3AP2218 E3AP2217 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2303 EFAP2324 EFAP015A  ,,,C88,惯青,0.150,E32P0,J,E42P0J540003,E419AAECC,******Q112V,,       F-(    1.6)-E3AP015D-(   2.59)-E3AP2232-(   3.34)-E3AP2240-(   4.24)-E3AP2239-(   4.26)-E3AP2238-(   6.02)-E3AP2218-(   6.05)-E3AP2217-(   6.63)-E3AP2216-(   9.11)-E3AP2207-(   9.71)-E3AP2206-(  10.29)-E3AP2205-(  12.39)-EFAP017C-(  14.34)-EFAP2301-(  14.92)-EFAP2300-(  15.84)-EFAP2299-(  16.94)-EFAP2298-(  18.58)-EFAP2303-(  20.18)-EFAP2324-(  20.93)-EFAP015A-(  25.63)-T       
