순번,Circuit,WD 종류,WD Page,Cable Type,From Deck,From Room,From Equipment,To Deck,To Equipment,Main-SubSystem,길이,가닥수,총길이,From Length,To Length,POR Area,SET Area,SET DECK,SET Block,Cut_div,Drum Ser,Drum Seq,Deck PATH,Block PATH,Node PATH,RMK1,RMK2,CUT_NOD,POR_DIV,단위중량,Upper_blk,Stage,DP,From장비Tag,To장비Tag,CheckNode,길이Node
366,A-CV-1,CONT,82,HLTRS1,E2,,E/R ICMS FC13,EF,TEMPERATURE SENSOR (PT100),/,54,1,54,3,2.3,E,E,E42P0,EFP,C,ECE0,AV,E3(13.88) EF(39.21),E42P0(13.88) E32P0(11.44) E31P0(13.86) E31S0(13.91),E3AP017B E3AP2212 E3AP2210 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2296 EFAP2205 EFAP2287 EFJBJ054 EFFP2204 EFFP2203 EFFP2202 EFFP2201 EFFP2195 EFFP2194 EFFP2193 EFFP2176 EFFP2167 EFFP2166 EFFP2146 EFFP2145 EFFP2144 EFFP2143 EFFP2142 EFJBJ028 EFFS2047 EFFS2046 EFFS2045 EFFS2044 EFFS2042 EFFS2043 EFFS2061 EFFS2052 EFFS2037  ,,,C108,발행,0.140,E42P0,J,E42P0J540003,E420FFFC13,******CV103,EFAP017C ,       F-(      3)-E3AP017B-(   4.48)-E3AP2212-(   5.31)-E3AP2210-(   9.02)-E3AP2216-(   11.5)-E3AP2207-(   12.1)-E3AP2206-(  12.68)-E3AP2205-(  14.78)-EFAP017C-(  16.73)-EFAP2301-(  17.31)-EFAP2300-(  18.23)-EFAP2299-(  19.33)-EFAP2298-(  22.16)-EFAP2296-(  24.06)-EFAP2205-(   26.1)-EFAP2287-(  26.22)-EFJBJ054-(  26.51)-EFFP2204-(  27.02)-EFFP2203-(  27.12)-EFFP2202-(  27.16)-EFFP2201-(  29.68)-EFFP2195-(  29.88)-EFFP2194-(  30.76)-EFFP2193-(  31.09)-EFFP2176-(  33.17)-EFFP2167-(  33.53)-EFFP2166-(  34.67)-EFFP2146-(   36.6)-EFFP2145-(  38.28)-EFFP2144-(   39.1)-EFFP2143-(  39.62)-EFFP2142-(  40.08)-EFJBJ028-(  40.34)-EFFS2047-(  46.22)-EFFS2046-(  46.48)-EFFS2045-(  46.52)-EFFS2044-(  47.75)-EFFS2042-(  48.92)-EFFS2043-(  49.58)-EFFS2061-(  51.45)-EFFS2052-(  51.69)-EFFS2037-(  53.99)-T       
367,A-CV-1A,CONT,82,HLMS4,E2,,E/R ICMS FC13,E3,EP CONTROLLER,/,55,1,55,3,3.2,E,E,E42P0,EFP,C,ECE0,AE,E3(13.88) EF(40.33),E42P0(13.88) E32P0(11.44) E31P0(13.86) E31S0(15.03),E3AP017B E3AP2212 E3AP2210 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2296 EFAP2205 EFAP2287 EFJBJ054 EFFP2204 EFFP2203 EFFP2202 EFFP2201 EFFP2195 EFFP2194 EFFP2193 EFFP2176 EFFP2167 EFFP2166 EFFP2146 EFFP2145 EFFP2144 EFFP2143 EFFP2142 EFJBJ028 EFFS2047 EFFS2046 EFFS2045 EFFS2044 EFFS2042 EFFS2043 EFFS2061 EFFS2052 EFFS2037 EFFS024C  ,,,C108,발행,0.150,E31S0,J,E42P0J540003,E420FFFC13,******CV107,EFAP017C ,       F-(      3)-E3AP017B-(   4.48)-E3AP2212-(   5.31)-E3AP2210-(   9.02)-E3AP2216-(   11.5)-E3AP2207-(   12.1)-E3AP2206-(  12.68)-E3AP2205-(  14.78)-EFAP017C-(  16.73)-EFAP2301-(  17.31)-EFAP2300-(  18.23)-EFAP2299-(  19.33)-EFAP2298-(  22.16)-EFAP2296-(  24.06)-EFAP2205-(   26.1)-EFAP2287-(  26.22)-EFJBJ054-(  26.51)-EFFP2204-(  27.02)-EFFP2203-(  27.12)-EFFP2202-(  27.16)-EFFP2201-(  29.68)-EFFP2195-(  29.88)-EFFP2194-(  30.76)-EFFP2193-(  31.09)-EFFP2176-(  33.17)-EFFP2167-(  33.53)-EFFP2166-(  34.67)-EFFP2146-(   36.6)-EFFP2145-(  38.28)-EFFP2144-(   39.1)-EFFP2143-(  39.62)-EFFP2142-(  40.08)-EFJBJ028-(  40.34)-EFFS2047-(  46.22)-EFFS2046-(  46.48)-EFFS2045-(  46.52)-EFFS2044-(  47.75)-EFFS2042-(  48.92)-EFFS2043-(  49.58)-EFFS2061-(  51.45)-EFFS2052-(  51.69)-EFFS2037-(  51.91)-EFFS024C-(  55.11)-T       
370,A-CV-3,CONT,82,HLTRS1,E2,,E/R ICMS FC13,E3,TEMPERATURE SENSOR (PT100),/,41,1,41,3,1.5,E,E,E42P0,EFP,C,ECE0,AV,E3(13.88) EF(26.17),E42P0(13.88) E32P0(13.94) E32S0(12.23),E3AP017B E3AP2212 E3AP2210 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2296 EFAP2313 EFAP2312 EFAP2311 EFAP2310 EFJBJ023 EFAS2206 EFAS2224 EFAS2223 EFAS2222 EFAS2221 EFAS2225 EFAS016B  ,,,C108,발행,0.140,E42P0,J,E42P0J540003,E420FFFC13,******CV101,,       F-(      3)-E3AP017B-(   4.48)-E3AP2212-(   5.31)-E3AP2210-(   9.02)-E3AP2216-(   11.5)-E3AP2207-(   12.1)-E3AP2206-(  12.68)-E3AP2205-(  14.78)-EFAP017C-(  16.73)-EFAP2301-(  17.31)-EFAP2300-(  18.23)-EFAP2299-(  19.33)-EFAP2298-(  22.16)-EFAP2296-(  24.75)-EFAP2313-(  25.37)-EFAP2312-(   26.7)-EFAP2311-(   28.2)-EFAP2310-(  28.72)-EFJBJ023-(  29.46)-EFAS2206-(  31.22)-EFAS2224-(  32.08)-EFAS2223-(  34.92)-EFAS2222-(  37.53)-EFAS2221-(  39.15)-EFAS2225-(  39.45)-EFAS016B-(  40.95)-T       
371,A-CV-3A,CONT,82,HLMS4,E2,,E/R ICMS FC13,E3,EP CONTROLLER,/,42,1,42,3,2.5,E,E,E42P0,EFP,C,ECE0,AE,E3(13.88) EF(27.93),E42P0(13.88) E32P0(13.94) E32S0(13.99),E3AP017B E3AP2212 E3AP2210 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2296 EFAP2313 EFAP2312 EFAP2311 EFAP2310 EFJBJ023 EFAS2206 EFAS2224 EFAS2223 EFAS2222 EFAS2221 EFAS2225 EFAS016C  ,,,C108,발행,0.150,E32S0,J,E42P0J540003,E420FFFC13,******CV105,,       F-(      3)-E3AP017B-(   4.48)-E3AP2212-(   5.31)-E3AP2210-(   9.02)-E3AP2216-(   11.5)-E3AP2207-(   12.1)-E3AP2206-(  12.68)-E3AP2205-(  14.78)-EFAP017C-(  16.73)-EFAP2301-(  17.31)-EFAP2300-(  18.23)-EFAP2299-(  19.33)-EFAP2298-(  22.16)-EFAP2296-(  24.75)-EFAP2313-(  25.37)-EFAP2312-(   26.7)-EFAP2311-(   28.2)-EFAP2310-(  28.72)-EFJBJ023-(  29.46)-EFAS2206-(  31.22)-EFAS2224-(  32.08)-EFAS2223-(  34.92)-EFAS2222-(  37.53)-EFAS2221-(  39.15)-EFAS2225-(  40.21)-EFAS016C-(  42.71)-T       
448,A-GE1-3,CONT,88,HLM7,E3,,G/E1 TERMINAL BOX,E2,E/R ICMS FC13,/,40,1,40,4.4,3,E,E,E42P0,EFP,C,ECE0,AY,EF(26.06) E3(13.88),E32S0(12.12) E32P0(13.94) E42P0(13.88),EFAS014A EFAS2235 EFAS2223 EFAS2224 EFAS2206 EFJBJ023 EFAP2310 EFAP2311 EFAP2312 EFAP2313 EFAP2296 EFAP2298 EFAP2299 EFAP2300 EFAP2301 EFAP017C E3AP2205 E3AP2206 E3AP2207 E3AP2216 E3AP2210 E3AP2212 E3AP017B  ,,,C108,발행,0.250,E32P0,J,E42P0J540003,M592AAGETB1,E420FFFC13,,       F-(    4.4)-EFAS014A-(   5.72)-EFAS2235-(   8.76)-EFAS2223-(   9.62)-EFAS2224-(  11.38)-EFAS2206-(  12.12)-EFJBJ023-(  12.64)-EFAP2310-(  14.14)-EFAP2311-(  15.47)-EFAP2312-(  16.09)-EFAP2313-(  18.68)-EFAP2296-(  21.51)-EFAP2298-(  22.61)-EFAP2299-(  23.53)-EFAP2300-(  24.11)-EFAP2301-(  26.06)-EFAP017C-(  28.16)-E3AP2205-(  28.74)-E3AP2206-(  29.34)-E3AP2207-(  31.82)-E3AP2216-(  35.53)-E3AP2210-(  36.36)-E3AP2212-(  37.84)-E3AP017B-(  40.84)-T       
449,A-GE1-4,CONT,88,HLM7,E3,,G/E2 TERMINAL BOX,E2,E/R ICMS FC13,/,38,1,38,3.9,3,E,E,E42P0,EFP,C,ECE0,AY,EF(23.38) E3(13.88),E32P0(23.38) E42P0(13.88),EFAS014C EFJBJ024 EFAP2331 EFAP2327 EFAP2326 EFAP2329 EFAP2323 EFAP2322 EFAP2312 EFAP2313 EFAP2296 EFAP2298 EFAP2299 EFAP2300 EFAP2301 EFAP017C E3AP2205 E3AP2206 E3AP2207 E3AP2216 E3AP2210 E3AP2212 E3AP017B  ,,,C108,발행,0.250,E32P0,J,E42P0J540003,M592AAGETB2,E420FFFC13,,       F-(    3.9)-EFAS014C-(   5.39)-EFJBJ024-(   6.02)-EFAP2331-(   6.57)-EFAP2327-(   6.93)-EFAP2326-(   9.41)-EFAP2329-(   9.81)-EFAP2323-(   9.97)-EFAP2322-(  12.79)-EFAP2312-(  13.41)-EFAP2313-(     16)-EFAP2296-(  18.83)-EFAP2298-(  19.93)-EFAP2299-(  20.85)-EFAP2300-(  21.43)-EFAP2301-(  23.38)-EFAP017C-(  25.48)-E3AP2205-(  26.06)-E3AP2206-(  26.66)-E3AP2207-(  29.14)-E3AP2216-(  32.85)-E3AP2210-(  33.68)-E3AP2212-(  35.16)-E3AP017B-(  38.16)-T       
450,A-GE1-5,CONT,88,HLM7,E3,,G/E3 TERMINAL BOX,E2,E/R ICMS FC13,/,34,1,34,4.4,3,E,E,E42P0,EFP,C,ECE0,AY,EF(19.57) E3(13.88),E32P0(19.57) E42P0(13.88),EFAP014B EFAP2329 EFAP2323 EFAP2322 EFAP2312 EFAP2313 EFAP2296 EFAP2298 EFAP2299 EFAP2300 EFAP2301 EFAP017C E3AP2205 E3AP2206 E3AP2207 E3AP2216 E3AP2210 E3AP2212 E3AP017B  ,,,C108,발행,0.250,E32P0,J,E42P0J540003,M592AAGETB2,E420FFFC13,,       F-(    4.4)-EFAP014B-(    5.6)-EFAP2329-(      6)-EFAP2323-(   6.16)-EFAP2322-(   8.98)-EFAP2312-(    9.6)-EFAP2313-(  12.19)-EFAP2296-(  15.02)-EFAP2298-(  16.12)-EFAP2299-(  17.04)-EFAP2300-(  17.62)-EFAP2301-(  19.57)-EFAP017C-(  21.67)-E3AP2205-(  22.25)-E3AP2206-(  22.85)-E3AP2207-(  25.33)-E3AP2216-(  29.04)-E3AP2210-(  29.87)-E3AP2212-(  31.35)-E3AP017B-(  34.35)-T       
463,A-GE8-3,CONT,95,HLM12,E3,,NO.3 G/E POWER SUPPLY UNIT,E2,E/R ICMS AMC 3,/,38,1,38,3.4,2.1,E,E,E42P0,E3P,C,ECE0,AL,E3(37.16),A21P0(12.65) E42P0(24.51),E3AP2271 E3AP2281 E3AP2274 E3AP2275 E3AP2270 E3AP2267 E3AP2266 E3AP2265 E3AP2264 E3AP2263 E3AP2262 E3AP2261 E3AP2260 E3AP2251 E3AP2250 E3AP2249 E3AP2241 E3AP2240 E3AP2239 E3AP2238 E3AP2218 E3AP2217 E3AP2216 E3AP2210 E3AP2212 E3AP017B  ,,,C108,발행,0.420,E42P0,J,E42P0J540003,M592CCGEPSU3,E420FFDPU3,,       F-(    3.4)-E3AP2271-(    4.9)-E3AP2281-(    7.7)-E3AP2274-(  12.65)-E3AP2275-(  14.72)-E3AP2270-(  16.34)-E3AP2267-(  16.48)-E3AP2266-(  17.18)-E3AP2265-(  17.44)-E3AP2264-(   17.8)-E3AP2263-(  18.22)-E3AP2262-(  18.84)-E3AP2261-(  19.06)-E3AP2260-(  21.74)-E3AP2251-(  24.31)-E3AP2250-(  24.61)-E3AP2249-(  25.59)-E3AP2241-(  25.75)-E3AP2240-(  26.65)-E3AP2239-(  26.67)-E3AP2238-(  28.43)-E3AP2218-(  28.46)-E3AP2217-(  29.04)-E3AP2216-(  32.75)-E3AP2210-(  33.58)-E3AP2212-(  35.06)-E3AP017B-(  37.16)-T       
623,A-LM2-6,CONT,85,HLM4,E2,,E/R ICMS FC13,EF,UREA STORAGE TK COAMING L.H/HH,/,50,1,50,3,3.1,E,E,E42P0,EFP,C,ECE0,BA,E3(13.88) EF(35.88),E42P0(13.88) E32P0(11.44) E31P0(19.3) E21P0(5.14),E3AP017B E3AP2212 E3AP2210 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2296 EFAP2205 EFAP2287 EFJBJ054 EFFP2204 EFFP2203 EFFP2202 EFFP2201 EFFP2195 EFFP2194 EFFP2193 EFFP2176 EFFP2167 EFFP2166 EFFP2146 EFFP2147 EFFP2148 EFFP2139 EFFP2140 EFFP2141 EFFP2151 EFJBJ039 EFFP2155  ,,,C108,발행,0.180,E31P0,J,E42P0J540003,E420FFFC13,E421AALM2114,EFAP017C ,       F-(      3)-E3AP017B-(   4.48)-E3AP2212-(   5.31)-E3AP2210-(   9.02)-E3AP2216-(   11.5)-E3AP2207-(   12.1)-E3AP2206-(  12.68)-E3AP2205-(  14.78)-EFAP017C-(  16.73)-EFAP2301-(  17.31)-EFAP2300-(  18.23)-EFAP2299-(  19.33)-EFAP2298-(  22.16)-EFAP2296-(  24.06)-EFAP2205-(   26.1)-EFAP2287-(  26.22)-EFJBJ054-(  26.51)-EFFP2204-(  27.02)-EFFP2203-(  27.12)-EFFP2202-(  27.16)-EFFP2201-(  29.68)-EFFP2195-(  29.88)-EFFP2194-(  30.76)-EFFP2193-(  31.09)-EFFP2176-(  33.17)-EFFP2167-(  33.53)-EFFP2166-(  34.67)-EFFP2146-(  35.55)-EFFP2147-(  36.33)-EFFP2148-(  37.23)-EFFP2139-(  37.51)-EFFP2140-(  38.08)-EFFP2141-(  41.04)-EFFP2151-(  45.52)-EFJBJ039-(  47.56)-EFFP2155-(  50.66)-T       
624,A-LM2-7,CONT,85,HLM2,E2,,E/R ICMS FC13,EF,UREA STORAGE TK L.LL,/,49,1,49,3,1.7,E,E,E42P0,EFP,C,ECE0,AC,E3(13.88) EF(34.48),E42P0(13.88) E32P0(11.44) E31P0(19.3) E21P0(3.74),E3AP017B E3AP2212 E3AP2210 E3AP2216 E3AP2207 E3AP2206 E3AP2205 EFAP017C EFAP2301 EFAP2300 EFAP2299 EFAP2298 EFAP2296 EFAP2205 EFAP2287 EFJBJ054 EFFP2204 EFFP2203 EFFP2202 EFFP2201 EFFP2195 EFFP2194 EFFP2193 EFFP2176 EFFP2167 EFFP2166 EFFP2146 EFFP2147 EFFP2148 EFFP2139 EFFP2140 EFFP2141 EFFP2151 EFJBJ039 EFFP2155  ,,,C108,발행,0.130,E31P0,J,E42P0J540003,E420FFFC13,E421AALM2115,EFAP017C ,       F-(      3)-E3AP017B-(   4.48)-E3AP2212-(   5.31)-E3AP2210-(   9.02)-E3AP2216-(   11.5)-E3AP2207-(   12.1)-E3AP2206-(  12.68)-E3AP2205-(  14.78)-EFAP017C-(  16.73)-EFAP2301-(  17.31)-EFAP2300-(  18.23)-EFAP2299-(  19.33)-EFAP2298-(  22.16)-EFAP2296-(  24.06)-EFAP2205-(   26.1)-EFAP2287-(  26.22)-EFJBJ054-(  26.51)-EFFP2204-(  27.02)-EFFP2203-(  27.12)-EFFP2202-(  27.16)-EFFP2201-(  29.68)-EFFP2195-(  29.88)-EFFP2194-(  30.76)-EFFP2193-(  31.09)-EFFP2176-(  33.17)-EFFP2167-(  33.53)-EFFP2166-(  34.67)-EFFP2146-(  35.55)-EFFP2147-(  36.33)-EFFP2148-(  37.23)-EFFP2139-(  37.51)-EFFP2140-(  38.08)-EFFP2141-(  41.04)-EFFP2151-(  45.52)-EFJBJ039-(  47.56)-EFFP2155-(  49.26)-T       
