순번,Circuit,WD 종류,WD Page,Cable Type,From Deck,From Room,From Equipment,To Deck,To Room,To Equipment,Main-SubSystem,길이,가닥수,총길이,From Node,From Length,To Node,To Length,POR Area,SET Area,SET Deck,SET Block,SET Node,S-From Length,S-ToLength,잉여POR,잉여전용량,Cut_div,GroupCircuit,CASING사급,Drum Ser,Drum Seq,Deck PATH,Block PATH,Node PATH,RMK1,RMK2,CUT_NOD,POR_DIV,단위중량,Upper_blk,Stage,DP,From장비Tag,To장비Tag,CheckNode,길이Node,checked,memo,memodate,update_at,setb,setnode_f,setnode_t,list_node,list_BlockPATH,reverse
1,A-GD1-3,CONT,164,HLM7,AA,,CARGO CONTROL CONSOLE,AA,,CARGO ICMS FC31 (SAFE I/O CABINET),/,14,1,14,AUFP224A,3.7,AUFP223B,3.6,A,H11P0,H11P0,H11P0,AUFP224A,3.7,10.3,,0,C,,,ECA0,AA,AU(13.96),H11P0(13.96),AUFP224A AUFP2253 AUFP2229 AUFP2228 AUFP2227 AUFP2226 AUFP2225 AUFP2224 AUFP2223 AUFP2222 AUFP2251 AUFP2252 AUFP223B  ,,,C105,수정,0.250,,J,H11P0J540003,B005CCCCC,B07141FC31,,       F-(    3.7)-AUFP224A-(   4.59)-AUFP2253-(   5.07)-AUFP2229-(   5.45)-AUFP2228-(   6.03)-AUFP2227-(   6.59)-AUFP2226-(   7.11)-AUFP2225-(   7.51)-AUFP2224-(   7.87)-AUFP2223-(   8.63)-AUFP2222-(   9.06)-AUFP2251-(    9.8)-AUFP2252-(  10.36)-AUFP223B-(  13.96)-T       ,,,,,,,,,,
2,A-AS1-1,CONT,27.2,HLMS44,E2,,ECC,CD,,G-JB-AU,/,45,1,45,E3AP013A,2.7,CDFS2088,1.8,E,E42P0,E42P0,E42P0,E3AP013A,2.7,41.9,,0,C,,,ECEF,AA,E3(17.95) E2(23.6) AU(3.03),E42P0(17.95) E52P0(18.3) E51P0(5.3) H11P0(3.03),E3AP013A E3AP0002 E3AP2291 E3AP2252 E3AP2251 E3AP2250 E3AP2249 E3AP2001 E3AP2004 E3AP2003 E3AP2002 E3AP2247 E3AP2005 E3AP2261 E3AP2260 E3AP016B E2AP2298 E2AP2299 E2AP2300 E2AP2301 E2AP2302 E2AP2303 E2AP2016 E2AP2010 E2AP2283 E2AP2017 E2AP1020 E2JBJ011 E2FP2162 E2FP2161 E2FP2160 E2FP2007 E2FP2006 E2FP221A E2FP221A CDFS2088  ,,,C63,수정,1.140,E52P0,J,E42P0J540003,E419AAECC,E412BBGJBAU,,       F-(    2.7)-E3AP013A-(   2.98)-E3AP0002-(   4.44)-E3AP2291-(   6.23)-E3AP2252-(   6.27)-E3AP2251-(   6.42)-E3AP2250-(   7.19)-E3AP2249-(   7.89)-E3AP2001-(     10)-E3AP2004-(  10.72)-E3AP2003-(  11.11)-E3AP2002-(  12.53)-E3AP2247-(   15.6)-E3AP2005-(  16.68)-E3AP2261-(  17.29)-E3AP2260-(  17.95)-E3AP016B-(  18.88)-E2AP2298-(  19.38)-E2AP2299-(  20.74)-E2AP2300-(  20.76)-E2AP2301-(  21.33)-E2AP2302-(  21.35)-E2AP2303-(  24.63)-E2AP2016-(  27.74)-E2AP2010-(  30.96)-E2AP2283-(  32.91)-E2AP2017-(  36.03)-E2AP1020-(  36.25)-E2JBJ011-(  36.39)-E2FP2162-(  36.57)-E2FP2161-(  37.74)-E2FP2160-(  39.19)-E2FP2007-(  40.15)-E2FP2006-(  41.55)-E2FP221A-(  42.78)-CDFS2088-(  44.58)-T       ,,,,,,,,,,
3,A-AS1-1A,CONT,27.2,HLMS44,CD,,G-JB-AU,WH,,BCC,/,28,1,28,CDFS2088,1.8,ACFS025K,2.5,A,H23P0,H23P0,H23P0,CDFS0003,10.4,16.8,,0,C,,,ECA0,AB,AU(3.78) AA(3.08) AB(3.02) AC(17.23),H11P0(2.9) H11S0(1.32) H21S0(2.64) H22S0(3.02) H23P0(5.21) H23S0(4.11) H23P0(7.91),CDFS2088 CDFS2089 CDFS221A CDAS2091 CDAS2110 CDAS2092 CDAS2111 CDAS021C CDFS0063 CDFS0069 CDFS0064 CDFS021K CDFS0003 CDFS0005 CDFS2098 CDFS2097 CDFS2096 CDFS2095 ACFS2082 ACFS2081 ACFS2096 ACFS2008 ACFS2053 ACFS2052 ACFS2051 ACFS2029 ACFS2028 ACFS2025 ACFS2024 ACFS2023 ACFS2022 ACFS2021 ACFS2020 ACFS025K  ,,,B,수정,1.140,,J,H23P0J540003,E412BBGJBAU,E409AABCC,,       F-(    1.8)-CDFS2088-(    2.9)-CDFS2089-(   3.78)-CDFS221A-(   4.22)-CDAS2091-(   4.76)-CDAS2110-(    4.8)-CDAS2092-(   6.26)-CDAS2111-(   6.86)-CDAS021C-(   7.24)-CDFS0063-(   8.13)-CDFS0069-(   9.54)-CDFS0064-(   9.88)-CDFS021K-(  10.35)-CDFS0003-(  12.37)-CDFS0005-(  12.81)-CDFS2098-(  13.61)-CDFS2097-(  14.01)-CDFS2096-(  14.09)-CDFS2095-(  15.09)-ACFS2082-(  15.55)-ACFS2081-(  16.35)-ACFS2096-(  16.85)-ACFS2008-(  17.85)-ACFS2053-(  18.23)-ACFS2052-(  18.29)-ACFS2051-(  18.92)-ACFS2029-(   19.2)-ACFS2028-(  20.79)-ACFS2025-(  20.93)-ACFS2024-(  21.57)-ACFS2023-(  22.36)-ACFS2022-(  23.24)-ACFS2021-(  23.54)-ACFS2020-(  24.61)-ACFS025K-(  27.11)-T       ,,,,,,,,,,
4,A-AS1-2,CONT,27.2,HLMS37,E2,,ECC,CD,,G-JB-AU,/,45,1,45,E3AP013A,2.7,CDFS2088,1.8,E,E42P0,E42P0,E42P0,E3AP013A,2.7,41.9,,0,C,,,ECEF,AB,E3(17.95) E2(23.6) AU(3.03),E42P0(17.95) E52P0(18.3) E51P0(5.3) H11P0(3.03),E3AP013A E3AP0002 E3AP2291 E3AP2252 E3AP2251 E3AP2250 E3AP2249 E3AP2001 E3AP2004 E3AP2003 E3AP2002 E3AP2247 E3AP2005 E3AP2261 E3AP2260 E3AP016B E2AP2298 E2AP2299 E2AP2300 E2AP2301 E2AP2302 E2AP2303 E2AP2016 E2AP2010 E2AP2283 E2AP2017 E2AP1020 E2JBJ011 E2FP2162 E2FP2161 E2FP2160 E2FP2007 E2FP2006 E2FP221A E2FP221A CDFS2088  ,,,C63,수정,0.965,E52P0,J,E42P0J540003,E419AAECC,E412BBGJBAU,,       F-(    2.7)-E3AP013A-(   2.98)-E3AP0002-(   4.44)-E3AP2291-(   6.23)-E3AP2252-(   6.27)-E3AP2251-(   6.42)-E3AP2250-(   7.19)-E3AP2249-(   7.89)-E3AP2001-(     10)-E3AP2004-(  10.72)-E3AP2003-(  11.11)-E3AP2002-(  12.53)-E3AP2247-(   15.6)-E3AP2005-(  16.68)-E3AP2261-(  17.29)-E3AP2260-(  17.95)-E3AP016B-(  18.88)-E2AP2298-(  19.38)-E2AP2299-(  20.74)-E2AP2300-(  20.76)-E2AP2301-(  21.33)-E2AP2302-(  21.35)-E2AP2303-(  24.63)-E2AP2016-(  27.74)-E2AP2010-(  30.96)-E2AP2283-(  32.91)-E2AP2017-(  36.03)-E2AP1020-(  36.25)-E2JBJ011-(  36.39)-E2FP2162-(  36.57)-E2FP2161-(  37.74)-E2FP2160-(  39.19)-E2FP2007-(  40.15)-E2FP2006-(  41.55)-E2FP221A-(  42.78)-CDFS2088-(  44.58)-T       ,,,,,,,,,,
5,A-AS1-2A,CONT,81,HLMS37,CD,,G-JB-AU,WH,,BCC,/,28,1,28,CDFS2088,1.8,ACFS025K,2.5,A,H23P0,H23P0,H23P0,CDFS0003,10.4,16.8,,0,C,,,ECA0,AC,AU(3.78) AA(3.08) AB(3.02) AC(17.23),H11P0(2.9) H11S0(1.32) H21S0(2.64) H22S0(3.02) H23P0(5.21) H23S0(4.11) H23P0(7.91),CDFS2088 CDFS2089 CDFS221A CDAS2091 CDAS2110 CDAS2092 CDAS2111 CDAS021C CDFS0063 CDFS0069 CDFS0064 CDFS021K CDFS0003 CDFS0005 CDFS2098 CDFS2097 CDFS2096 CDFS2095 ACFS2082 ACFS2081 ACFS2096 ACFS2008 ACFS2053 ACFS2052 ACFS2051 ACFS2029 ACFS2028 ACFS2025 ACFS2024 ACFS2023 ACFS2022 ACFS2021 ACFS2020 ACFS025K  ,,,B,수정,0.965,,J,H23P0J540003,E412BBGJBAU,E409AABCC,,       F-(    1.8)-CDFS2088-(    2.9)-CDFS2089-(   3.78)-CDFS221A-(   4.22)-CDAS2091-(   4.76)-CDAS2110-(    4.8)-CDAS2092-(   6.26)-CDAS2111-(   6.86)-CDAS021C-(   7.24)-CDFS0063-(   8.13)-CDFS0069-(   9.54)-CDFS0064-(   9.88)-CDFS021K-(  10.35)-CDFS0003-(  12.37)-CDFS0005-(  12.81)-CDFS2098-(  13.61)-CDFS2097-(  14.01)-CDFS2096-(  14.09)-CDFS2095-(  15.09)-ACFS2082-(  15.55)-ACFS2081-(  16.35)-ACFS2096-(  16.85)-ACFS2008-(  17.85)-ACFS2053-(  18.23)-ACFS2052-(  18.29)-ACFS2051-(  18.92)-ACFS2029-(   19.2)-ACFS2028-(  20.79)-ACFS2025-(  20.93)-ACFS2024-(  21.57)-ACFS2023-(  22.36)-ACFS2022-(  23.24)-ACFS2021-(  23.54)-ACFS2020-(  24.61)-ACFS025K-(  27.11)-T       ,,,,,,,,,,
6,A-AS1-3,CONT,27.2,HD2,WH,,BCC,CP,,EH-M,/,34,1,34,ACFS025K,2.5,ANFP028C,3.2,A,H23P0,H23P0,H23P0,ACFP022A,16,17.3,,0,C,,,ECA0,AD,AC(15.98) AN(17.25),H23P0(7.91) H23S0(4.49) H23P0(3.58) H24A0(17.25),ACFS025K ACFS2020 ACFS2021 ACFS2022 ACFS2023 ACFS2024 ACFS2025 ACFS2028 ACFS2029 ACFS2051 ACFS2052 ACFS2053 ACFS2008 ACFS2096 ACFS2081 ACFS2082 ACFS2083 ACFP2216 ACFP2217 ACFP2218 ACFP2219 ACFP2220 ACFP022A ANFP2158 ANFP2159 ACFP2401 ANFP2142 ANFP2143 ANFP2137 ANFP2136 ANFP2114 ANFP2069 ANFP2056 ANFP2057 ANFP028C  ,,,C44,수정,0.240,,J,H23P0J540003,E409AABCC,E403HHHFOALARM,ACFS2081 ,       F-(    2.5)-ACFS025K-(   3.57)-ACFS2020-(   3.87)-ACFS2021-(   4.75)-ACFS2022-(   5.54)-ACFS2023-(   6.18)-ACFS2024-(   6.32)-ACFS2025-(   7.91)-ACFS2028-(   8.19)-ACFS2029-(   8.82)-ACFS2051-(   8.88)-ACFS2052-(   9.26)-ACFS2053-(  10.26)-ACFS2008-(  10.76)-ACFS2096-(  11.56)-ACFS2081-(  12.02)-ACFS2082-(   12.4)-ACFS2083-(  13.17)-ACFP2216-(  14.01)-ACFP2217-(  14.33)-ACFP2218-(  14.61)-ACFP2219-(  14.64)-ACFP2220-(  15.98)-ACFP022A-(  16.59)-ANFP2158-(  17.09)-ANFP2159-(  17.95)-ACFP2401-(  19.79)-ANFP2142-(  21.18)-ANFP2143-(  21.57)-ANFP2137-(  21.89)-ANFP2136-(  24.13)-ANFP2114-(  25.63)-ANFP2069-(  25.85)-ANFP2056-(  26.54)-ANFP2057-(  30.03)-ANFP028C-(  33.23)-T       ,,,,,,,,,,
7,A-AS1-5,CONT,27.1,HLM2,E3,,CONTROL AIR DRYER,E2,,E/R ICMS FC11,/,33,1,33,EFAP017A,3.1,E3AP013A,2.6,E,E42P0,E42P0,E42P0,E3AP013A,30.1,2.6,,0,C,,,ECEF,AC,EF(9.78) E3(22.9),E32P0(9.78) E42P0(22.9),EFAP017A EFAP0357 EFAP0356 EFAP0358 EFAP016C E3AP2256 E3AP2257 E3AP2258 E3AP2259 E3AP2260 E3AP2261 E3AP2005 E3AP2247 E3AP2002 E3AP2003 E3AP2004 E3AP2001 E3AP2249 E3AP2250 E3AP2251 E3AP2252 E3AP2291 E3AP0002 E3AP013A  ,,,C63,수정,0.130,E42P0,J,E42P0J540003,M535AACONTDRYER,E419AAECC,EFAP016C ,       F-(    3.1)-EFAP017A-(   4.05)-EFAP0357-(   5.83)-EFAP0356-(   7.15)-EFAP0358-(   9.78)-EFAP016C-(  11.01)-E3AP2256-(  12.27)-E3AP2257-(  12.49)-E3AP2258-(  12.85)-E3AP2259-(  15.49)-E3AP2260-(   16.1)-E3AP2261-(  17.18)-E3AP2005-(  20.25)-E3AP2247-(  21.67)-E3AP2002-(  22.06)-E3AP2003-(  22.78)-E3AP2004-(  24.89)-E3AP2001-(  25.59)-E3AP2249-(  26.36)-E3AP2250-(  26.51)-E3AP2251-(  26.55)-E3AP2252-(  28.34)-E3AP2291-(   29.8)-E3AP0002-(  30.08)-E3AP013A-(  32.68)-T       ,,,,,,,,,,
8,A-AS2-1,CONT,27.3,HLMS16,E2,,E/R ICMS FC11,EF,,G-JB-EFFS,/,49,1,49,E3AP013A,2.6,EFFS0013,1.5,E,E41P0,E41P0,E41P0,E3JBJ014,14.7,34,,0,C,,,ECEF,AD,E3(29.36) EF(19.38),E42P0(14.7) E41P0(14.66) E31P0(8.71) E31S0(10.67),E3AP013A E3AP0002 E3AP2291 E3AP2252 E3AP2251 E3AP2250 E3AP2249 E3AP2001 E3AP2004 E3AP2003 E3AP2002 E3AP2248 E3JBJ014 E3FP2132 E3FP2131 E3FP2104 E3FP2103 E3FP2102 E3FP2101 E3FP2100 EFFP023A EFFP0202 EFFP0199 EFFP0197 EFFP0196 EFFP0195 EFFP0180 EFFP0179 EFFP0178 EFJBJ019 EFFS0069 EFFS0068 EFFS0067 EFFS0066 EFFS0014 EFFS0013  ,,,C164,수정,0.515,E42P0,J,E41P0J540003,E419AAECC,E412AAGJBEFFS,EFFP023A ,       F-(    2.6)-E3AP013A-(   2.88)-E3AP0002-(   4.34)-E3AP2291-(   6.13)-E3AP2252-(   6.17)-E3AP2251-(   6.32)-E3AP2250-(   7.09)-E3AP2249-(   7.79)-E3AP2001-(    9.9)-E3AP2004-(  10.62)-E3AP2003-(  11.01)-E3AP2002-(  13.27)-E3AP2248-(   14.7)-E3JBJ014-(  16.87)-E3FP2132-(  16.95)-E3FP2131-(  19.73)-E3FP2104-(  20.59)-E3FP2103-(  21.35)-E3FP2102-(  21.41)-E3FP2101-(  22.09)-E3FP2100-(  29.36)-EFFP023A-(  30.43)-EFFP0202-(  31.42)-EFFP0199-(  32.22)-EFFP0197-(  32.38)-EFFP0196-(  32.67)-EFFP0195-(  34.03)-EFFP0180-(  36.81)-EFFP0179-(  37.59)-EFFP0178-(  38.07)-EFJBJ019-(  38.23)-EFFS0069-(  38.43)-EFFS0068-(  39.47)-EFFS0067-(   40.7)-EFFS0066-(  45.55)-EFFS0014-(  47.24)-EFFS0013-(  48.74)-T       ,,,,,,,,,,
9,A-AS2-2,CONT,27.3,HLMS19,E2,,E/R ICMS FC11,EF,,G-JB-EFAS,/,46,1,46,E3AP013A,2.6,EFAS0273,1.2,E,E32P0,E32P0,E32P0,E3AP013A,2.6,42.6,,0,C,,,ECEF,AE,E3(22.9) EF(22.3),E42P0(22.9) E32P0(7.58) E32S0(13.36) E23S0(1.36),E3AP013A E3AP0002 E3AP2291 E3AP2252 E3AP2251 E3AP2250 E3AP2249 E3AP2001 E3AP2004 E3AP2003 E3AP2002 E3AP2247 E3AP2005 E3AP2261 E3AP2260 E3AP2259 E3AP2258 E3AP2257 E3AP2256 EFAP016C EFAP0358 EFAP0359 EFAP0360 EFJBJ010 EFAS0266 EFAS0265 EFAS0264 EFAS0263 EFAS0262 EFAS0261 EFAS0267 EFAS0272 EFAS0273  ,,,C63,수정,0.570,E42P0,J,E42P0J540003,E419AAECC,E412AAGJBEFAS,EFAP016C ,       F-(    2.6)-E3AP013A-(   2.88)-E3AP0002-(   4.34)-E3AP2291-(   6.13)-E3AP2252-(   6.17)-E3AP2251-(   6.32)-E3AP2250-(   7.09)-E3AP2249-(   7.79)-E3AP2001-(    9.9)-E3AP2004-(  10.62)-E3AP2003-(  11.01)-E3AP2002-(  12.43)-E3AP2247-(   15.5)-E3AP2005-(  16.58)-E3AP2261-(  17.19)-E3AP2260-(  19.83)-E3AP2259-(  20.19)-E3AP2258-(  20.41)-E3AP2257-(  21.67)-E3AP2256-(   22.9)-EFAP016C-(  25.53)-EFAP0358-(  27.29)-EFAP0359-(  29.86)-EFAP0360-(  30.48)-EFJBJ010-(  31.55)-EFAS0266-(  33.81)-EFAS0265-(  35.19)-EFAS0264-(  35.59)-EFAS0263-(  36.51)-EFAS0262-(  38.15)-EFAS0261-(  38.62)-EFAS0267-(  43.84)-EFAS0272-(     44)-EFAS0273-(   45.2)-T       ,,,,,,,,,,
10,A-AS2-3,CONT,27.3,HLMS23,E2,,E/R ICMS FC11,E2,,G-JB-SG,/,24,1,24,E3AP013A,2.6,E2AP2427,2.3,E,E42P0,E42P0,E42P0,E3AP013A,2.6,21.2,,0,C,,,ECEF,AF,E3(18.9) E2(4.85),E42P0(18.9) E52P0(4.85),E3AP013A E3AP0002 E3AP2291 E3AP2292 E3AP2290 E3AP2293 E3AP2294 E3AP2320 E3AP2319 E3AP2318 E3AP2317 E3AP2316 E3AP2315 E3AP2314 E3AP2313 E3AP2312 E3AP2323 E3AP011C E2AP2419 E2AP2420 E2AP2421 E2AP2422 E2AP2423 E2AP2427  ,,,C63,수정,0.675,E42P0,J,E42P0J540003,E419AAECC,E412CCGJBSG,,       F-(    2.6)-E3AP013A-(   2.88)-E3AP0002-(   4.34)-E3AP2291-(    4.4)-E3AP2292-(   4.96)-E3AP2290-(   5.41)-E3AP2293-(   5.47)-E3AP2294-(   7.78)-E3AP2320-(   9.54)-E3AP2319-(   9.74)-E3AP2318-(   9.98)-E3AP2317-(   10.2)-E3AP2316-(  13.76)-E3AP2315-(   14.2)-E3AP2314-(     15)-E3AP2313-(  15.34)-E3AP2312-(  18.21)-E3AP2323-(   18.9)-E3AP011C-(  19.56)-E2AP2419-(  19.94)-E2AP2420-(  20.35)-E2AP2421-(  20.78)-E2AP2422-(  21.02)-E2AP2423-(  21.45)-E2AP2427-(  23.75)-T       ,,,,,,,,,,
